precinct_me,total_pop2014,total_pop2015,total_pop2016,total_pop2017,model_14,model_15,model_16,model_17
68.0,124048,122578,118498,118575,296.9470928937536,290.92616210082593,280.07219603115635,277.04206226302773
69.0,88455,88490,89746,90092,211.7442852921206,210.0218316851481,212.1163167733815,210.49355659625294
70.0,153076,156210,157520,159022,366.4345510754242,370.7482238392698,372.30140862147675,371.54360383884625
71.0,93854,95508,95075,94948,224.6684546018505,226.6783263711733,224.71150599725053,221.83925555766353
72.0,115764,117438,117084,116797,277.1167875479854,278.72690551972454,276.7301811010474,272.88789159717345
73.0,101152,103548,102981,102143,242.1384652746434,245.76043199608677,243.3974819784681,238.64986182359212
75.0,190266,193069,193679,196653,455.4602700287221,458.2292351861211,457.76386820974477,459.46576150294067
76.0,48877,49834,50812,52258,117.0021528712111,118.2758273273553,120.09509379681613,122.0971038561358
77.0,82283,82588,84331,85927,196.96970241016967,196.01404718287955,199.31786497243368,200.76233003647633
78.0,79716,80389,79825,81535,190.82479731328567,190.7949488906924,188.66785134084168,190.5007341059748
79.0,86280,87646,90316,91551,206.53775292526328,208.0186852737766,213.46352222611281,213.90240642835712
81.0,78155,78436,79964,81476,187.08806304907222,186.1597060691183,188.99638038984108,190.36288479816525
83.0,125412,124535,121092,121099,300.21224698496894,295.57089850728806,286.20316260025305,282.93920892254175
84.0,48111,49032,50594,52011,115.16849595488341,116.37236355730796,119.57984679910483,121.52000590649237
88.0,49419,50761,53409,54362,118.2995967989521,120.47596562515317,126.2331509209272,127.01295035836148
90.0,107468,108498,110303,112261,257.2577565064,257.5087432950073,260.7031632502206,262.2898498984588
94.0,55898,58105,60067,62349,133.80907873222495,137.9061874795517,141.96945601616457,145.6740083494625
100.0,49762,49204,51296,52075,119.12067293772544,116.78058770749269,121.23903667246871,121.66953735903155
101.0,67708,69713,70221,70937,162.07995103226386,165.45657082457598,165.96862122148752,165.73926013706426
102.0,131718,136652,137922,137972,315.3076001368779,324.32934052931245,325.9811762308996,322.3617745271302
103.0,107271,104562,105534,107101,256.7861763334019,248.16705576519897,249.43154429570166,250.23387653748705
104.0,163483,165937,169721,176639,391.34691077284214,393.83424889070426,401.13869586494195,412.7044725792026
105.0,205574,205720,207156,211748,492.10468265945843,488.25507079069575,489.6170048526577,494.73415644167477
106.0,143794,144863,145677,147874,344.2152253608636,343.8172969081886,344.31026094306037,345.4970939496771
107.0,148180,151843,154283,157246,354.7144671820296,360.3836025377776,364.6506997609656,367.39410603088385
108.0,117387,120317,120728,121054,281.0019379072541,285.55991324287453,285.3428419251755,282.8340696199752
109.0,236019,235999,236187,237772,564.9841667555368,560.1191349967597,558.2323057267695,555.5373833304205
110.0,180424,178501,177543,177513,431.9004118426947,423.65359902396455,419.62613630575703,414.7465114779408
111.0,127815,127417,125775,127323,305.96456757235194,302.411026419104,297.27151897769323,297.4811426819774
112.0,108851,111350,111877,113770,260.5683929493258,264.2776693201632,264.42334111442966,265.81552117785924
113.0,143817,145475,147557,150319,344.2702829445131,345.2698153960552,348.7536754187357,351.20966272246307
114.0,192670,192949,191331,192397,461.2149844240899,457.94442763948064,452.2143271518269,449.5219199090849
115.0,162316,165433,162035,162021,388.5533368546249,392.63805719481417,382.9726939181119,378.55055424767454
120.0,114387,113165,113190,113002,273.82051395296816,268.58538346310075,267.52664069238796,264.02114374738903
121.0,116765,117215,118310,121411,279.51298934073213,278.19763816221763,279.6278545835888,283.6681747536703
122.0,140291,141093,140453,139596,335.82971599024233,334.86959315123295,331.96324114469445,326.1561351353119
123.0,100079,101008,101371,101939,239.5699093069938,239.73200559219617,239.59221745408658,238.17323031862347
