Precinct,2010_BURGLARY                              ,2011_BURGLARY                              ,2012_BURGLARY                              ,2013_BURGLARY                              ,2014_BURGLARY                              ,2015_BURGLARY                              ,2016_BURGLARY                              ,2017_BURGLARY                              ,2018_BURGLARY                              ,2010_FELONY ASSAULT                        ,2011_FELONY ASSAULT                        ,2012_FELONY ASSAULT                        ,2013_FELONY ASSAULT                        ,2014_FELONY ASSAULT                        ,2015_FELONY ASSAULT                        ,2016_FELONY ASSAULT                        ,2017_FELONY ASSAULT                        ,2018_FELONY ASSAULT                        ,2010_GRAND LARCENY                         ,2011_GRAND LARCENY                         ,2012_GRAND LARCENY                         ,2013_GRAND LARCENY                         ,2014_GRAND LARCENY                         ,2015_GRAND LARCENY                         ,2016_GRAND LARCENY                         ,2017_GRAND LARCENY                         ,2018_GRAND LARCENY                         ,2010_GRAND LARCENY OF MOTOR VEHICLE                                  ,2011_GRAND LARCENY OF MOTOR VEHICLE                                  ,2012_GRAND LARCENY OF MOTOR VEHICLE                                  ,2013_GRAND LARCENY OF MOTOR VEHICLE                                  ,2014_GRAND LARCENY OF MOTOR VEHICLE                                  ,2015_GRAND LARCENY OF MOTOR VEHICLE                                  ,2016_GRAND LARCENY OF MOTOR VEHICLE                                  ,2017_GRAND LARCENY OF MOTOR VEHICLE                                  ,2018_GRAND LARCENY OF MOTOR VEHICLE                                  ,2010_MURDER & NON NEGL. MANSLAUGHTER                                ,2011_MURDER & NON NEGL. MANSLAUGHTER                                ,2012_MURDER & NON NEGL. MANSLAUGHTER                                ,2013_MURDER & NON NEGL. MANSLAUGHTER                                ,2014_MURDER & NON NEGL. MANSLAUGHTER                                ,2015_MURDER & NON NEGL. MANSLAUGHTER                                ,2016_MURDER & NON NEGL. MANSLAUGHTER                                ,2017_MURDER & NON NEGL. MANSLAUGHTER                                ,2018_MURDER & NON NEGL. MANSLAUGHTER                                ,2010_RAPE                                  ,2011_RAPE                                  ,2012_RAPE                                  ,2013_RAPE                                  ,2014_RAPE                                  ,2015_RAPE                                  ,2016_RAPE                                  ,2017_RAPE                                  ,2018_RAPE                                  ,2010_ROBBERY                               ,2011_ROBBERY                               ,2012_ROBBERY                               ,2013_ROBBERY                               ,2014_ROBBERY                               ,2015_ROBBERY                               ,2016_ROBBERY                               ,2017_ROBBERY                               ,2018_ROBBERY                               ,2010_TOTAL SEVEN MAJOR FELONY OFFENSES,2011_TOTAL SEVEN MAJOR FELONY OFFENSES,2012_TOTAL SEVEN MAJOR FELONY OFFENSES,2013_TOTAL SEVEN MAJOR FELONY OFFENSES,2014_TOTAL SEVEN MAJOR FELONY OFFENSES,2015_TOTAL SEVEN MAJOR FELONY OFFENSES,2016_TOTAL SEVEN MAJOR FELONY OFFENSES,2017_TOTAL SEVEN MAJOR FELONY OFFENSES,2018_TOTAL SEVEN MAJOR FELONY OFFENSES,2010_TOTAL_7_MAJOR,2011_TOTAL_7_MAJOR,2012_TOTAL_7_MAJOR,2013_TOTAL_7_MAJOR,2014_TOTAL_7_MAJOR,2015_TOTAL_7_MAJOR,2016_TOTAL_7_MAJOR,2017_TOTAL_7_MAJOR,2018_TOTAL_7_MAJOR
28,111,126,102,82,79,102,114,91,102,187,213,241,222,202,233,243,203,204,301,308,350,352,329,378,426,440,445,20,17,20,39,22,27,27,18,22,6,6,5,2,1,3,3,4,0,13,18,17,12,14,13,11,8,18,254,223,210,211,176,189,209,202,156,892,911,945,920,823,945,1033,966,947,1784,1822,1890,1840,1646,1890,2066,1932,1894
30,101,134,151,130,100,99,71,85,85,178,189,189,181,202,172,180,135,193,144,180,230,244,250,247,240,291,321,49,25,28,35,22,25,31,22,27,7,2,2,3,7,2,4,1,3,35,21,11,21,18,20,22,9,19,253,246,257,218,150,168,174,153,159,767,797,868,832,749,733,722,696,807,1534,1594,1736,1664,1498,1466,1444,1392,1614
32,121,152,108,82,94,113,132,97,124,305,321,279,295,299,349,354,335,314,293,302,315,297,297,305,282,267,329,53,52,40,31,29,37,48,31,41,8,10,11,7,6,3,7,4,5,31,27,33,27,17,35,32,17,20,292,244,243,261,254,278,197,199,193,1103,1108,1029,1000,996,1120,1052,950,1026,2206,2216,2058,2000,1992,2240,2104,1900,2052
33,102,129,163,118,111,103,53,77,67,174,181,177,200,173,199,191,189,204,271,242,276,357,327,305,302,262,271,66,61,43,29,34,41,28,35,37,4,7,2,2,2,1,3,2,1,21,27,19,19,19,21,14,9,17,246,230,214,202,145,137,121,107,111,884,877,894,927,811,807,712,681,708,1768,1754,1788,1854,1622,1614,1424,1362,1416
34,190,272,261,208,177,193,139,172,155,220,236,207,178,204,246,308,290,315,385,374,339,433,456,516,563,631,592,97,89,79,76,76,88,70,71,87,4,8,5,1,1,3,4,3,1,22,18,20,25,13,23,10,14,27,282,286,246,239,224,246,229,201,200,1200,1283,1157,1160,1151,1315,1323,1382,1377,2400,2566,2314,2320,2302,2630,2646,2764,2754
40,200,238,158,213,144,236,266,236,251,435,453,392,511,469,579,744,804,720,430,405,482,586,488,645,746,802,774,126,131,78,105,102,98,91,105,92,14,21,12,8,7,9,14,6,8,23,23,26,25,29,37,38,44,37,444,396,480,454,407,514,531,479,462,1672,1667,1628,1902,1646,2118,2430,2476,2344,3344,3334,3256,3804,3292,4236,4860,4952,4688
41,210,204,205,202,206,165,166,131,114,399,431,556,732,353,347,293,270,252,274,292,321,403,378,334,336,288,343,80,93,57,76,80,67,75,64,67,5,5,8,2,4,3,8,3,4,20,18,12,17,18,22,22,20,43,283,299,329,328,252,226,242,132,153,1271,1342,1488,1760,1291,1164,1142,908,976,2542,2684,2976,3520,2582,2328,2284,1816,1952
42,150,178,165,177,163,185,174,187,225,318,316,340,405,424,379,489,437,512,230,247,288,320,305,299,300,410,356,123,139,112,77,100,112,85,95,100,13,10,8,12,5,6,8,8,8,20,28,30,24,30,33,37,31,33,324,325,334,320,307,329,321,244,239,1178,1243,1277,1335,1334,1343,1414,1412,1473,2356,2486,2554,2670,2668,2686,2828,2824,2946
43,384,385,348,361,327,322,312,185,179,509,537,541,600,667,632,566,587,589,574,601,687,708,693,710,692,680,663,253,284,221,190,174,215,174,172,151,14,19,18,9,9,8,8,10,14,35,22,38,26,36,44,43,33,45,537,534,584,586,546,560,547,393,299,2306,2382,2437,2480,2452,2491,2342,2060,1940,4612,4764,4874,4960,4904,4982,4684,4120,3880
44,276,342,291,255,270,287,218,221,215,558,557,670,709,687,703,649,583,613,396,446,598,642,712,730,744,774,668,202,201,152,126,174,148,124,116,120,14,19,8,9,15,11,13,9,11,33,34,33,30,33,34,29,32,44,515,473,452,420,415,556,483,377,382,1994,2072,2204,2191,2306,2469,2260,2112,2053,3988,4144,4408,4382,4612,4938,4520,4224,4106
45,308,286,228,172,156,144,137,135,138,180,162,187,163,165,187,175,196,239,480,403,402,439,519,599,514,503,555,207,193,151,160,133,144,134,112,106,1,6,2,5,0,3,7,2,0,19,13,17,9,11,7,17,10,13,239,213,190,162,165,160,142,144,127,1434,1276,1177,1110,1149,1244,1126,1102,1178,2868,2552,2354,2220,2298,2488,2252,2204,2356
46,208,247,226,188,208,268,243,191,190,410,401,451,475,517,558,578,587,586,295,381,410,441,431,446,525,509,478,131,127,92,91,109,99,93,81,86,12,20,13,9,14,14,14,10,9,23,32,30,28,32,25,31,39,28,437,406,390,449,334,418,442,402,315,1516,1614,1612,1681,1645,1828,1926,1819,1692,3032,3228,3224,3362,3290,3656,3852,3638,3384
47,373,407,397,391,377,284,325,317,294,427,487,517,561,548,586,620,671,726,309,295,408,491,433,517,659,717,520,359,295,253,202,205,215,187,247,205,23,21,16,9,17,11,8,8,5,37,36,30,36,35,34,39,48,44,437,434,506,469,420,415,434,440,337,1965,1975,2127,2159,2035,2062,2272,2448,2131,3930,3950,4254,4318,4070,4124,4544,4896,4262
48,254,200,208,250,271,222,190,183,182,368,342,385,460,499,556,453,442,396,321,353,473,506,508,485,485,487,424,122,141,95,102,76,117,73,76,76,5,12,9,4,10,6,7,8,11,20,19,21,24,22,38,22,26,29,400,415,442,422,386,365,332,284,276,1490,1482,1633,1768,1772,1789,1562,1506,1394,2980,2964,3266,3536,3544,3578,3124,3012,2788
49,379,391,344,232,190,185,180,180,171,262,259,268,218,183,191,282,253,307,454,454,421,360,364,440,435,493,439,236,231,183,111,133,164,138,98,95,10,3,8,2,6,6,4,3,7,23,18,17,15,18,30,24,13,25,317,372,331,210,179,228,228,221,176,1681,1728,1572,1148,1073,1244,1291,1261,1220,3362,3456,3144,2296,2146,2488,2582,2522,2440
50,167,207,178,154,175,108,115,118,105,118,115,131,149,137,104,154,140,147,363,386,421,415,417,471,469,522,458,135,107,103,87,85,95,89,78,97,5,4,6,2,1,2,4,3,7,8,9,10,2,18,17,9,8,15,166,192,146,150,140,154,136,102,110,962,1020,995,959,973,951,976,971,939,1924,2040,1990,1918,1946,1902,1952,1942,1878
52,433,448,415,354,371,275,272,170,208,455,396,398,484,541,556,593,519,553,556,635,634,737,706,668,636,640,679,188,146,139,120,103,111,109,104,106,11,8,6,12,7,12,3,2,7,27,22,24,26,27,30,28,27,30,511,519,546,473,439,457,454,332,334,2181,2174,2162,2206,2194,2109,2095,1794,1917,4362,4348,4324,4412,4388,4218,4190,3588,3834
60,163,200,257,214,193,165,104,61,89,211,281,211,283,314,315,254,235,232,542,483,562,523,592,535,361,382,422,116,89,79,66,68,87,56,49,46,10,6,4,8,10,4,3,8,0,18,12,23,18,21,25,16,16,20,263,251,299,309,267,273,155,142,138,1323,1322,1435,1421,1465,1404,949,893,947,2646,2644,2870,2842,2930,2808,1898,1786,1894
61,248,255,369,346,342,338,184,222,169,112,151,146,199,187,184,185,193,170,397,435,752,726,797,620,566,592,584,187,146,129,126,131,120,93,96,72,6,14,3,2,2,5,2,2,1,5,11,10,19,12,12,11,11,17,152,190,259,248,227,214,133,152,150,1107,1202,1668,1666,1698,1493,1174,1268,1163,2214,2404,3336,3332,3396,2986,2348,2536,2326
62,301,250,255,308,303,232,168,200,178,137,162,183,181,201,210,197,182,148,457,456,503,552,513,505,473,489,482,159,158,131,110,99,112,104,77,67,7,2,4,3,0,1,0,1,2,13,12,8,16,11,10,12,14,20,175,172,214,235,159,172,170,166,120,1249,1212,1298,1405,1286,1242,1124,1129,1017,2498,2424,2596,2810,2572,2484,2248,2258,2034
63,273,257,251,196,176,186,128,103,92,130,187,237,186,160,161,137,148,131,529,517,534,636,567,535,560,529,495,159,126,106,92,107,101,74,66,62,2,2,8,8,3,5,5,3,5,17,16,15,13,6,2,8,12,14,225,234,238,165,192,146,122,117,88,1335,1339,1389,1296,1211,1136,1034,978,887,2670,2678,2778,2592,2422,2272,2068,1956,1774
66,383,335,324,277,285,258,166,159,186,170,161,163,150,123,159,178,152,141,387,447,464,474,498,473,468,406,447,135,130,102,140,97,90,89,81,79,0,2,1,6,1,4,1,0,0,11,8,7,7,8,20,15,11,20,178,190,183,137,142,133,123,103,101,1264,1273,1244,1191,1154,1137,1040,912,974,2528,2546,2488,2382,2308,2274,2080,1824,1948
67,405,458,452,388,351,298,267,225,225,445,619,589,569,587,499,612,609,601,522,513,647,677,687,667,620,654,586,274,277,209,169,166,164,119,129,98,26,22,15,11,12,17,14,17,6,31,45,32,50,41,41,44,39,43,417,521,496,519,478,429,414,334,246,2120,2455,2440,2383,2322,2115,2090,2007,1805,4240,4910,4880,4766,4644,4230,4180,4014,3610
