,precinct,2010_no_arrest,2010_yes_arrest,2011_no_arrest,2011_yes_arrest,2012_no_arrest,2012_yes_arrest,2013_no_arrest,2013_yes_arrest,2014_no_arrest,2014_yes_arrest,2015_no_arrest,2015_yes_arrest,2016_no_arrest,2016_yes_arrest,2017_no_arrest,2017_yes_arrest,2018_no_arrest,2018_yes_arrest
28,46.0,11445.0,482.0,13405.0,313.0,5372.0,256.0,1112.0,72.0,303.0,45.0,162.0,27.0,73.0,11.0,184.0,95.0,189.0,80.0
29,47.0,8522.0,1167.0,10017.0,919.0,8319.0,629.0,2276.0,240.0,194.0,168.0,332.0,213.0,74.0,43.0,117.0,52.0,82.0,22.0
30,48.0,3141.0,502.0,4912.0,353.0,5237.0,193.0,888.0,62.0,108.0,27.0,79.0,21.0,39.0,6.0,174.0,45.0,160.0,47.0
31,49.0,8224.0,453.0,8117.0,378.0,5429.0,349.0,1531.0,106.0,416.0,59.0,476.0,105.0,357.0,46.0,184.0,96.0,104.0,38.0
32,50.0,2395.0,264.0,2379.0,304.0,1629.0,203.0,837.0,76.0,287.0,14.0,152.0,13.0,79.0,6.0,40.0,10.0,37.0,8.0
33,52.0,8894.0,835.0,12991.0,657.0,9365.0,446.0,1805.0,159.0,497.0,39.0,195.0,21.0,76.0,4.0,169.0,61.0,160.0,47.0
34,60.0,8545.0,690.0,9282.0,670.0,7285.0,500.0,4193.0,285.0,621.0,70.0,389.0,99.0,72.0,93.0,108.0,78.0,112.0,62.0
35,61.0,5170.0,269.0,6355.0,265.0,6497.0,193.0,2815.0,114.0,181.0,15.0,77.0,22.0,39.0,21.0,94.0,58.0,93.0,44.0
36,62.0,4796.0,180.0,4191.0,194.0,4276.0,195.0,2939.0,115.0,573.0,45.0,209.0,47.0,60.0,14.0,60.0,47.0,63.0,34.0
37,63.0,3300.0,149.0,4348.0,237.0,3466.0,197.0,1470.0,79.0,214.0,18.0,163.0,8.0,39.0,2.0,140.0,32.0,125.0,38.0
38,66.0,2360.0,419.0,3501.0,326.0,3113.0,322.0,1746.0,198.0,834.0,98.0,379.0,89.0,130.0,52.0,42.0,10.0,52.0,3.0
39,67.0,11516.0,429.0,12673.0,420.0,10530.0,302.0,4090.0,227.0,1155.0,93.0,729.0,40.0,182.0,7.0,198.0,46.0,225.0,64.0
40,68.0,2381.0,258.0,2569.0,321.0,2373.0,184.0,1436.0,152.0,93.0,16.0,60.0,10.0,42.0,7.0,49.0,36.0,35.0,15.0
41,69.0,6283.0,283.0,5918.0,199.0,5201.0,168.0,2751.0,160.0,771.0,62.0,148.0,19.0,12.0,4.0,113.0,53.0,113.0,44.0
42,70.0,9997.0,294.0,12050.0,254.0,11096.0,152.0,3881.0,152.0,564.0,34.0,527.0,30.0,71.0,13.0,76.0,33.0,85.0,30.0
43,71.0,6944.0,268.0,5487.0,527.0,4322.0,354.0,2607.0,253.0,495.0,51.0,220.0,32.0,86.0,13.0,169.0,31.0,157.0,22.0
44,72.0,4053.0,337.0,6755.0,222.0,4969.0,230.0,2107.0,158.0,182.0,13.0,129.0,20.0,44.0,32.0,90.0,60.0,152.0,41.0
45,73.0,18819.0,720.0,24020.0,1147.0,21635.0,513.0,7687.0,314.0,744.0,122.0,238.0,47.0,93.0,13.0,173.0,68.0,215.0,68.0
46,75.0,25855.0,1083.0,29995.0,1105.0,23796.0,612.0,6577.0,351.0,734.0,183.0,465.0,78.0,198.0,20.0,86.0,16.0,347.0,85.0
47,76.0,5202.0,300.0,4411.0,248.0,4196.0,284.0,2301.0,133.0,394.0,34.0,144.0,26.0,48.0,26.0,46.0,43.0,67.0,27.0
48,77.0,10506.0,539.0,10913.0,492.0,9563.0,371.0,3249.0,193.0,317.0,56.0,125.0,18.0,58.0,6.0,162.0,41.0,110.0,33.0
49,78.0,2946.0,92.0,3388.0,167.0,3182.0,99.0,1695.0,51.0,158.0,9.0,76.0,7.0,46.0,7.0,64.0,17.0,61.0,48.0
50,79.0,14536.0,768.0,13944.0,551.0,14805.0,489.0,5142.0,339.0,1248.0,204.0,522.0,60.0,122.0,18.0,180.0,57.0,183.0,47.0
