,precinct,2018_no_rate,2017_no_rate,2016_no_rate,2015_no_rate,2014_no_rate,2013_no_rate,2012_no_rate,2011_no_rate,2010_no_rate
51,81.0,0.7398373983739838,0.7803030303030303,0.8607594936708861,0.9327731092436975,0.7819548872180451,0.922316384180791,0.961273045627768,0.966302834957146,0.9504258180188256
52,83.0,0.6986301369863014,0.8203125,0.7183098591549296,0.7344398340248963,0.8249097472924187,0.9328822733423545,0.9514012361358056,0.9485387124692097,0.9284595300261097
53,84.0,0.6616541353383458,0.6666666666666666,0.8461538461538461,0.8782287822878229,0.9286384976525821,0.9392165691130122,0.9464751958224543,0.9428461833525125,0.9158256880733945
54,88.0,0.6055045871559633,0.8170731707317073,0.8529411764705882,0.7788461538461539,0.8728323699421965,0.9466106778644271,0.9277067921990585,0.9262994569433669,0.9348203552824896
55,90.0,0.8092105263157895,0.72,0.7976878612716763,0.9006849315068494,0.8462809917355372,0.9346956908040871,0.9517570587040423,0.9685756575202095,0.9343789088809776
56,94.0,0.7971014492753623,0.6526315789473685,0.9111111111111111,0.8571428571428571,0.8507462686567164,0.8888888888888888,0.9302103250478011,0.9322787938704894,0.9325666492420283
57,100.0,0.660377358490566,0.6363636363636364,0.8095238095238095,0.8924050632911392,0.855,0.940668202764977,0.9433414043583536,0.9295774647887324,0.9034025374855824
58,101.0,0.7301587301587301,0.84,0.8214285714285714,0.8285714285714286,0.9488559892328399,0.9641544117647058,0.9586489252814739,0.9540428472702143,0.9205556110722495
59,102.0,0.7532467532467533,0.8529411764705882,0.927710843373494,0.8985507246376812,0.8569009314140559,0.8628450106157113,0.8799824791940429,0.9222011385199241,0.8948370211753509
60,103.0,0.9004524886877828,0.8427672955974843,0.8135593220338984,0.91875,0.8923076923076924,0.9227346278317152,0.9196057292468812,0.9301539179104478,0.9312423873325213
61,104.0,0.921875,0.6981132075471698,0.8461538461538461,0.7557251908396947,0.7545271629778671,0.8695945945945946,0.9100756182301246,0.9186790805935409,0.9562639968383612
62,105.0,0.8106060606060606,0.7839506172839507,0.7692307692307693,0.7925636007827789,0.892271662763466,0.9407321324811156,0.8937545742864114,0.8967419058318864,0.9136144454704012
63,106.0,0.7,0.8293838862559242,0.8835443037974684,0.9149223497636731,0.9349192100538599,0.9427764040974921,0.939430165371588,0.9693393497628139,0.945654747809614
64,107.0,0.6893203883495146,0.8461538461538461,0.8846153846153846,0.9280701754385965,0.8982430453879942,0.9114719748559456,0.9277352543899144,0.9346229625649293,0.949873568347464
65,108.0,0.6883116883116883,0.7066666666666667,0.8387096774193549,0.9456521739130435,0.927710843373494,0.9566265060240964,0.948486328125,0.9283276450511946,0.931781106332493
66,109.0,0.7628865979381443,0.8827160493827161,0.823076923076923,0.7918552036199095,0.8771526980482205,0.9077500670421025,0.9229498037595538,0.9340796019900498,0.9645098039215686
67,110.0,0.48201438848920863,0.49640287769784175,0.5072463768115942,0.6510416666666666,0.7824267782426778,0.865911582024114,0.9343234323432343,0.9372857804539139,0.9541341870824054
68,111.0,0.7326732673267327,0.6133333333333333,0.8070175438596491,0.8743718592964824,0.9293893129770993,0.9482551143200962,0.9520255863539445,0.9455128205128205,0.9402763018065887
69,112.0,0.5394736842105263,0.7368421052631579,0.8409090909090909,0.9542857142857143,0.9353846153846154,0.9385665529010239,0.9199714183637013,0.9163486938655708,0.9089201877934272
70,113.0,0.8333333333333334,0.8275862068965517,0.8571428571428571,0.9202453987730062,0.915680473372781,0.9528041679436102,0.9338369963369964,0.951856946354883,0.9323792877430631
71,114.0,0.5078740157480315,0.6828571428571428,0.8565737051792829,0.8983739837398373,0.8732809430255403,0.9088607594936708,0.933601134215501,0.9284540268780818,0.9384587122255902
72,115.0,0.6746987951807228,0.7111111111111111,0.6125,0.8484848484848485,0.8585365853658536,0.7919123841617524,0.9424888448190382,0.9630425203789381,0.9638451116023675
73,120.0,0.639344262295082,0.665,0.8709677419354839,0.9317773788150808,0.9498448810754913,0.9332010582010583,0.9309508408796895,0.9230442692540934,0.9402558152085919
74,122.0,0.48484848484848486,0.573170731707317,0.8307692307692308,0.937984496124031,0.9697297297297297,0.9580169718624386,0.9638629283489096,0.9640272679601468,0.9715194667474625
75,123.0,0.8888888888888888,0.6290322580645161,0.4883720930232558,0.7637795275590551,0.7819314641744548,0.9332688588007737,0.9530927835051546,0.9481993093241243,0.9499575911789653
