,Unnamed: 0,precinct,no_arrest,yes_arrest,year
152,75,122.0,108.0,22.0,2016
153,76,123.0,21.0,22.0,2016
155,0,1.0,41.0,6.0,2017
156,1,5.0,57.0,51.0,2017
157,2,6.0,37.0,16.0,2017
158,3,7.0,58.0,52.0,2017
159,4,9.0,100.0,81.0,2017
160,5,10.0,44.0,27.0,2017
161,6,13.0,97.0,98.0,2017
162,7,14.0,84.0,18.0,2017
163,8,17.0,28.0,15.0,2017
164,9,18.0,36.0,21.0,2017
165,10,19.0,91.0,37.0,2017
166,11,20.0,36.0,19.0,2017
167,12,22.0,23.0,2.0,2017
168,13,23.0,231.0,115.0,2017
169,14,24.0,118.0,50.0,2017
170,15,25.0,127.0,64.0,2017
171,16,26.0,45.0,32.0,2017
172,17,28.0,91.0,54.0,2017
173,18,30.0,65.0,22.0,2017
174,19,32.0,108.0,83.0,2017
175,20,33.0,136.0,63.0,2017
176,21,34.0,140.0,52.0,2017
177,22,40.0,258.0,114.0,2017
178,23,41.0,67.0,20.0,2017
179,24,42.0,183.0,100.0,2017
180,25,43.0,65.0,38.0,2017
181,26,44.0,204.0,82.0,2017
182,27,45.0,99.0,16.0,2017
183,28,46.0,184.0,95.0,2017
184,29,47.0,117.0,52.0,2017
185,30,48.0,174.0,45.0,2017
186,31,49.0,184.0,96.0,2017
187,32,50.0,40.0,10.0,2017
188,33,52.0,169.0,61.0,2017
189,34,60.0,108.0,78.0,2017
190,35,61.0,94.0,58.0,2017
191,36,62.0,60.0,47.0,2017
192,37,63.0,140.0,32.0,2017
193,38,66.0,42.0,10.0,2017
194,39,67.0,198.0,46.0,2017
195,40,68.0,49.0,36.0,2017
196,41,69.0,113.0,53.0,2017
197,42,70.0,76.0,33.0,2017
198,43,71.0,169.0,31.0,2017
199,44,72.0,90.0,60.0,2017
200,45,73.0,173.0,68.0,2017
201,46,75.0,86.0,16.0,2017
202,47,76.0,46.0,43.0,2017
203,48,77.0,162.0,41.0,2017
204,49,78.0,64.0,17.0,2017
205,50,79.0,180.0,57.0,2017
206,51,81.0,103.0,29.0,2017
207,52,83.0,105.0,23.0,2017
208,53,84.0,110.0,55.0,2017
209,54,88.0,67.0,15.0,2017
210,55,90.0,108.0,42.0,2017
211,56,94.0,62.0,33.0,2017
212,57,100.0,63.0,36.0,2017
213,58,101.0,84.0,16.0,2017
214,59,102.0,58.0,10.0,2017
215,60,103.0,134.0,25.0,2017
216,61,104.0,74.0,32.0,2017
217,62,105.0,127.0,35.0,2017
218,63,106.0,175.0,36.0,2017
219,64,107.0,55.0,10.0,2017
220,65,108.0,53.0,22.0,2017
221,66,109.0,143.0,19.0,2017
222,67,110.0,69.0,70.0,2017
223,68,111.0,46.0,29.0,2017
224,69,112.0,42.0,15.0,2017
225,70,113.0,96.0,20.0,2017
226,71,114.0,239.0,111.0,2017
227,72,115.0,96.0,39.0,2017
228,73,120.0,133.0,67.0,2017
229,74,121.0,87.0,33.0,2017
230,75,122.0,94.0,70.0,2017
231,76,123.0,39.0,23.0,2017
232,0,1.0,73.0,26.0,2018
233,1,5.0,65.0,22.0,2018
234,2,6.0,42.0,61.0,2018
235,3,7.0,101.0,37.0,2018
236,4,9.0,80.0,38.0,2018
237,5,10.0,51.0,32.0,2018
238,6,13.0,107.0,74.0,2018
239,7,14.0,63.0,28.0,2018
240,8,17.0,16.0,15.0,2018
241,9,18.0,76.0,20.0,2018
242,10,19.0,130.0,87.0,2018
243,11,20.0,33.0,38.0,2018
244,12,22.0,20.0,4.0,2018
245,13,23.0,266.0,81.0,2018
246,14,24.0,103.0,81.0,2018
247,15,25.0,179.0,44.0,2018
248,16,26.0,50.0,47.0,2018
249,17,28.0,83.0,25.0,2018
250,18,30.0,83.0,20.0,2018
251,19,32.0,91.0,49.0,2018
252,20,33.0,100.0,28.0,2018
253,21,34.0,144.0,44.0,2018
254,22,40.0,207.0,104.0,2018
255,23,41.0,49.0,23.0,2018
256,24,42.0,193.0,61.0,2018
257,25,43.0,286.0,110.0,2018
258,26,44.0,149.0,72.0,2018
259,27,45.0,89.0,14.0,2018
260,28,46.0,189.0,80.0,2018
261,29,47.0,82.0,22.0,2018
262,30,48.0,160.0,47.0,2018
263,31,49.0,104.0,38.0,2018
264,32,50.0,37.0,8.0,2018
265,33,52.0,160.0,47.0,2018
266,34,60.0,112.0,62.0,2018
267,35,61.0,93.0,44.0,2018
268,36,62.0,63.0,34.0,2018
269,37,63.0,125.0,38.0,2018
270,38,66.0,52.0,3.0,2018
271,39,67.0,225.0,64.0,2018
272,40,68.0,35.0,15.0,2018
273,41,69.0,113.0,44.0,2018
274,42,70.0,85.0,30.0,2018
275,43,71.0,157.0,22.0,2018
276,44,72.0,152.0,41.0,2018
277,45,73.0,215.0,68.0,2018
278,46,75.0,347.0,85.0,2018
279,47,76.0,67.0,27.0,2018
280,48,77.0,110.0,33.0,2018
281,49,78.0,61.0,48.0,2018
282,50,79.0,183.0,47.0,2018
283,51,81.0,91.0,32.0,2018
284,52,83.0,102.0,44.0,2018
285,53,84.0,88.0,45.0,2018
286,54,88.0,66.0,43.0,2018
287,55,90.0,123.0,29.0,2018
288,56,94.0,55.0,14.0,2018
289,57,100.0,70.0,36.0,2018
290,58,101.0,46.0,17.0,2018
291,59,102.0,58.0,19.0,2018
292,60,103.0,199.0,22.0,2018
293,61,104.0,59.0,5.0,2018
294,62,105.0,107.0,25.0,2018
295,63,106.0,49.0,21.0,2018
296,64,107.0,71.0,32.0,2018
297,65,108.0,53.0,24.0,2018
298,66,109.0,74.0,23.0,2018
299,67,110.0,67.0,72.0,2018
300,68,111.0,74.0,27.0,2018
301,69,112.0,41.0,35.0,2018
302,70,113.0,85.0,17.0,2018
303,71,114.0,129.0,125.0,2018
304,72,115.0,112.0,54.0,2018
305,73,120.0,78.0,44.0,2018
306,74,121.0,76.0,40.0,2018
307,75,122.0,32.0,34.0,2018
308,76,123.0,32.0,4.0,2018
