,precinct,lim_eng_other_lang_tot,total_spanish_speaking,born_outside_us,tot_w_race,white,black,am_indian_alask_native,nat_hawai_pac_isl,asian,other_race,two_more_race,lim_eng_other_perc,unemployment_rate,median_fam_income,median_income,fam_below_pov_line
64,108.0,163,34980,2533,118975,65335,2253,331,12,38216,8758,4070,-114942513.57931036,4.462068965517242,77072.55172413793,1569.551724137931,-888888888.0
65,109.0,172,35810,3420,252138,81677,6234,779,159,132881,23987,6421,-344086012.3483871,4.725806451612903,65100.75806451613,1404.3709677419354,-888888888.0
66,110.0,127,64336,2645,156744,49142,12618,924,0,59080,31281,3699,-365591389.6935484,5.512903225806452,52440.74193548387,1515.8387096774193,-888888888.0
67,111.0,47,10157,1704,121102,56811,2554,153,20,53614,4725,3225,-234234226.2513514,4.8567567567567576,93242.8918918919,1178.2702702702702,-888888888.0
68,112.0,430,13944,2453,116607,69091,3672,333,68,34255,4523,4665,-20833307.378124997,5.056250000000001,99201.96875,1614.25,-888888888.0
69,113.0,204,7543,2234,130909,3751,108939,413,31,4956,9530,3289,-198581551.51702127,8.891489361702128,79910.27659574468,843.0,-888888888.0
70,114.0,484,37933,6181,189604,115186,14892,553,133,33983,18389,6468,-68965492.63793102,6.803448275862066,70446.56896551725,1362.0689655172414,-888888888.0
71,115.0,189,106178,3565,180187,76675,11442,841,188,31363,54237,5441,-259259248.80555555,5.675,58166.13888888889,1496.2777777777778,-888888888.0
72,120.0,144,18667,2956,112430,63280,27339,366,0,8396,8069,4980,-104166656.90312499,5.815625000000001,82468.5625,1257.21875,-888888888.0
73,121.0,143,17188,3427,118647,79411,14433,313,90,15830,5337,3233,-79999989.308,4.84,85142.16,1600.2,-888888888.0
74,122.0,81,9129,2251,140168,118375,4750,441,28,11476,3224,1874,-145833327.8375,5.86875,96812.53125,1560.84375,-888888888.0
75,123.0,49,3314,1108,101939,94309,1074,183,47,4494,961,871,-39215681.44705883,4.447058823529411,108167.05882352941,2052.705882352941,-888888888.0
